NUMBER,NAME,LOCATION,TYPE,General Observations,SUMMIT CRATER,Crater Observations,Underwater Extent,Latitude,Longitude,Elevation Min (m),Elevation Max (m),Basal Area (km2),Basal Width (km),Minor Basal Axis (km),Major Basal Axis (km),Summit Area (km2),Summit Width (km),Height (km),Height Max (km),Volume (km3),Volume Max (km3),Height / Basal width,Summit width / Basal width,Ellipticity index [outline],Irregularity index [outline],Ellipticity index [avg. contours],Irregularity index [avg. contours],Mean Slope [total] (º),Mean Slope [flank] (º),Mean Slope [low flank] (º),Mean Slope [main flank] (º),Mean Slope [summit] (º),Max. Avg. Slope (º),Max. Avg. Slope Height Fraction,Azimuth Major Basal Axis (º),Avg. Azimuth Elevation contours (º),Sec. Peaks [total],Sec. Peaks [flank],Sec. Peaks [summit],Holes [total],Holes [flank],Holes [summit],Contours [flank],Contours [summit],Elevation Lowest Contour (m),Elevation Fraction Lowest Contour,Width Lowest Contour (m),Elevation Summit Region Contour (m),Elevation Fraction Summit Region Contour,Crater Elevation Min (m),Crater Elevation Min [fraction],Crater Area (km2),Crater Width (km),Major Crater Axis (km),Azimuth Major Crater Axis (º),Crater Depth (km),Crater Depth Max (km),Crater Volume (km3),Crater Volume Max (km3),Ellipticity index [crater outline],Irregularity index [crater outline],Crater Depth / Crater Width,Crater Width / Edifice Width,Crater Depth / Edifice Height,Crater Volume / Edifice Volume,Mean Crater Slope (º)
0505-07=,Savo,Solomon Is-SW Pacific,Stratovolcano,,NO,Small crater,Totally,-9.130,159.816,0,455,30.5,6.23,5.73,7.04,3.80,2.20,0.45,0.46,4.2,4.4,0.073,0.353,1.30,1.08,1.57,1.70,11.3,10.9,5.8,13.4,14.6,18.2,0.66,6,173,12,4,8,0,0,0,6,3,50,0.12,5.29,300,0.66, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0506-01=,Tinakula,Santa Cruz Is-SW Pacific,Stratovolcano,,NO,,Totally,-10.386,165.803,0,794,7.67,3.12,2.41,3.48,0.15,0.44,0.76,0.79,1.87,2.07,0.244,0.141,1.32,1.14,1.33,1.05,26.3,26.6,21.5,30.0,14.8,34.5,0.76,24,26,0,0,0,0,0,0,13,0,150,0.19,2.50,750,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0507-001,Motlav,Vanuatu-SW Pacific,Stratovolcano,,NO,,Totally,-13.668,167.683,0,415,31.5,6.33,3.94,9.78,1.65,1.45,0.41,0.42,3.0,3.1,0.065,0.229,2.41,1.19,3.82,1.22,8.9,8.5,5.7,15.0,16.1,20.4,0.72,56,60,6,4,2,0,0,0,5,2,100,0.24,3.62,300,0.72, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0507-01=,Suretamatai,Vanuatu-SW Pacific,Complex volcano,Outline delineation problematic,NO,,No,-13.795,167.468,424,906,30.4,6.22,4.81,8.44,1.49,1.38,0.36,0.48,2.8,5.9,0.058,0.221,1.86,1.30,1.89,1.47,9.1,8.9,8.1,13.1,12.5,13.2,0.78,165,155,8,6,2,1,1,0,3,2,700,0.57,2.60,800,0.78, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0507-02=,Gaua,Vanuatu-SW Pacific,Stratovolcano,,YES,,Totally,-14.282,167.514,0,732,314,20.0,18.3,24.0,125,12.6,0.73,0.73,92,93,0.036,0.631,1.48,1.14,1.48,1.49,7.9,8.1,6.6,8.9,7.4,10.5,0.55,54,44,11,5,6,3,0,3,7,5,100,0.14,17.9,400,0.55,393,0.54,46.7,7.71,9.26,124,0.18,0.34,4.57,13.6,1.44,1.12,0.02,0.39,0.25,0.05,5.4
0507-021,Mere Lava,Vanuatu-SW Pacific,Stratovolcano,,YES,,Totally,-14.464,168.039,0,1001,17.1,4.66,4.42,4.92,1.93,1.57,0.98,1.00,6.4,6.8,0.211,0.336,1.18,1.09,1.17,1.04,26.1,26.3,22.9,27.8,23.5,28.7,0.60,71,56,0,0,0,0,0,0,14,0,150,0.15,4.09,800,0.80,783,0.78,0.41,0.72,0.96,49,0.15,0.22,0.03,0.07,1.76,1.09,0.21,0.15,0.15,0.01,24.0
0507-03=,Aoba,Vanuatu-SW Pacific,Shield volcano,,YES,Nested craters,Totally,-15.405,167.828,0,1475,411,22.9,15.4,36.2,37.3,6.89,1.47,1.48,209,210,0.064,0.301,2.70,1.12,1.96,1.12,10.0,10.3,6.5,11.3,5.9,14.9,0.68,61,52,30,30,0,1,1,0,25,1,100,0.07,20.6,1300,0.88,1337,0.91,11.2,3.77,4.87,102,0.09,0.14,0.56,1.14,1.67,1.09,0.02,0.16,0.06,0.003,5.9
0507-04=,Ambrym,Vanuatu-SW Pacific,Pyroclastic shield,,YES,Crater considered as summit region,Totally,-16.247,168.119,0,1199,684,29.5,22.7,42.7,119,12.3,1.20,1.20,225,229,0.041,0.418,2.20,1.28,2.00,1.64,7.3,7.3,4.6,8.4,ND,9.7,0.42,100,115,27,27,ND,2,2,ND,9,ND,100,0.08,25.6,crater,ND,535,0.45,119,12.3,13.6,151,0.10,0.66,2.25,58.3,1.22,1.13,0.01,0.42,0.08,0.01,5.1
0507-05=,Lopevi,Vanuatu-SW Pacific,Stratovolcano,Possible artificial 'sink' in SRTM DEM,NO,Small crater,Totally,-16.510,168.343,0,1315,29.1,6.09,5.59,7.11,0.24,0.56,1.32,1.32,11.8,17.7,0.217,0.091,1.48,1.10,1.59,1.05,23.7,23.8,17.5,25.5,14.5,31.5,0.83,146,131,2,2,0,1,1,0,24,1,100,0.20,5.47,1250,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0507-081,North Vate [Emau],Vanuatu-SW Pacific,Stratovolcanoes,"Only Emau Island, part of the complex, is considered",NO,Small crater,Totally,-17.472,168.490,0,419,7.75,3.14,2.78,3.61,2.45,1.77,0.38,0.42,0.98,1.11,0.121,0.563,1.39,1.12,1.58,1.08,15.9,14.1,13.4,17.2,20.4,17.8,0.36,43,42,3,1,2,2,2,0,2,4,150,0.36,2.07,200,0.48, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0507-081,North Vate [Nguna],Vanuatu-SW Pacific,Stratovolcanoes,"Only Nguna Island, part of the complex, is considered",NO,,Totally,-17.448,168.347,0,585,23.1,5.43,3.47,8.75,3.19,2.02,0.57,0.59,4.0,4.3,0.104,0.371,2.60,1.09,2.23,1.08,12.6,12.3,11.7,13.1,14.4,15.5,0.60,130,134,3,2,1,0,0,0,5,4,150,0.26,4.02,350,0.60, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0507-09=,Traitor's Head,Vanuatu-SW Pacific,Stratovolcano,Summit region includes two peaks,NO,,Totally,-18.756,169.241,0,815,26.1,5.76,4.80,7.72,2.77,1.88,0.79,0.82,5.4,6.2,0.137,0.326,1.95,1.18,2.17,1.36,18.0,16.9,13.6,21.9,27.2,27.3,0.62,107,48,7,4,3,0,0,0,7,6,200,0.25,3.95,500,0.62, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0507-11-,Aneityum,Vanuatu-SW Pacific,Stratovolcanoes,Summit region includes two peaks,NO,,Totally,-20.185,169.790,0,814,156,14.1,10.1,17.0,18.1,4.81,0.80,0.81,40,42,0.057,0.341,1.49,1.18,3.56,2.96,15.9,15.0,11.3,17.1,22.1,22.0,0.62,107,103,24,8,16,1,1,0,8,6,150,0.19,11.7,500,0.62, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0600-001,Narcondum,Andaman Is-Indian O,Stratovolcano,,NO,,Totally,13.444,94.262,0,689,7.91,3.17,2.51,4.20,0.10,0.37,0.67,0.69,1.60,1.75,0.212,0.115,1.75,1.10,1.46,1.06,22.6,22.8,18.1,25.3,14.5,33.9,0.80,28,0,2,2,0,0,0,0,12,0,100,0.15,2.62,650,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0600-01=,Barren Island,Andaman Is-Indian O,Stratovolcano,No closed elevation contours on flank,YES,Crater considered as summit region,Totally,12.273,93.863,0,347,7.72,3.13,2.61,3.44,2.40,1.75,0.32,0.35,1.07,1.43,0.102,0.558,1.28,1.18,ND,ND,19.9,19.9,ND,ND,ND,ND,ND,54,ND,0,0,ND,0,0,ND,0,ND,ND,ND,ND,crater,ND,63,0.23,2.40,1.75,2.07,56,0.16,0.28,0.13,0.42,1.40,1.07,0.09,0.56,0.50,0.13,16.3
0601-02=,Seulawah Agam,Sumatra,Stratovolcano,,NO,,No,5.447,95.655,362,1786,42.9,7.39,5.42,9.10,1.54,1.40,1.10,1.42,10.5,23.9,0.149,0.190,1.58,1.33,1.70,1.14,16.3,16.0,13.6,19.3,23.3,27.6,0.80,138,116,2,2,0,0,0,0,13,5,900,0.38,4.96,1500,0.80, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-03=,Peuet Sague,Sumatra,Complex volcano,Outline delineation problematic,NO,,No,4.914,96.329,1192,2780,107,11.7,8.66,14.4,0.10,0.35,0.96,1.59,30,82,0.082,0.030,1.53,1.31,3.16,1.35,17.6,17.6,17.5,18.4,13.9,24.6,0.95,134,31,15,15,0,1,1,0,9,0,2350,0.73,3.83,2750,0.98, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-05=,"Telong, Bur ni",Sumatra,Stratovolcano,,NO,,No,4.810,96.816,931,2861,241,17.5,15.2,19.5,7.54,3.10,1.56,1.93,115,216,0.089,0.177,1.28,1.18,2.12,2.00,17.8,17.8,14.8,19.7,19.3,23.7,0.74,148,16,35,30,5,1,1,0,20,5,1650,0.37,13.8,2600,0.86, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-07=,Sibayak,Sumatra,Stratovolcanoes,,NO,,No,3.247,98.500,1173,2177,18.0,4.79,3.06,6.23,1.50,1.38,0.70,1.00,4.1,8.9,0.146,0.289,1.84,1.28,2.29,1.41,23.3,23.5,23.6,23.3,21.8,27.9,0.52,124,150,4,3,1,0,0,0,6,4,1700,0.52,3.19,1950,0.77, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-08=,Sinabung,Sumatra,Stratovolcano,,NO,,No,3.171,98.390,1075,2414,26.7,5.83,4.91,6.68,0.17,0.47,1.11,1.34,6.9,13.0,0.190,0.081,1.35,1.21,1.25,1.07,18.1,18.1,14.1,24.1,17.6,34.3,0.84,70,16,0,0,0,0,0,0,17,1,1550,0.35,3.76,2350,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-11=,Sibualbuali,Sumatra,Stratovolcano,,NO,,No,1.556,99.255,752,1800,93.5,10.9,8.03,13.7,2.16,1.66,0.84,1.05,24.3,43.1,0.077,0.152,1.68,1.22,3.31,1.49,12.6,12.5,11.0,14.5,15.8,16.1,0.81,154,155,10,7,3,0,0,0,10,2,1200,0.43,7.36,1650,0.86, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-111,Lubukraya,Sumatra,Stratovolcano,,NO,,No,1.478,99.210,679,1885,48.5,7.86,6.48,9.36,1.04,1.15,1.01,1.21,14.5,23.2,0.128,0.146,1.53,1.25,2.29,1.56,18.7,18.7,14.1,23.5,22.6,31.0,0.89,101,74,5,3,2,0,0,0,14,2,1100,0.35,5.61,1750,0.89, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-12=,Sorikmarapi,Sumatra,Stratovolcano,,NO,Small crater,No,0.680,99.540,719,2122,38.3,6.98,5.46,9.12,6.55,2.89,0.74,1.40,7.8,30.9,0.106,0.413,1.73,1.32,2.13,1.31,16.8,16.7,16.7,ND,17.2,17.8,0.81,17,174,5,2,3,0,0,0,1,5,1850,0.81,2.89,1850,0.81, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-121,Malintang,Sumatra,Stratovolcano,Outline delineation problematic,YES,Crater considered as summit region,No,0.485,99.673,436,1960,141,13.4,10.2,16.7,2.96,1.94,0.98,1.52,41,107,0.073,0.145,1.57,1.18,2.10,1.88,15.7,15.7,15.7,16.2,ND,16.8,0.76,137,151,14,14,ND,0,0,ND,2,ND,1600,0.76,5.15,crater,ND,1605,0.77,2.96,1.94,2.52,55,0.18,0.35,0.30,0.87,1.69,1.12,0.09,0.14,0.19,0.01,14.6
0601-13=,Talakmau,Sumatra,Complex volcano,Includes Pasaman volcano,NO,,No,0.079,99.983,239,2874,178,15.1,13.5,16.4,0.58,0.86,2.24,2.64,95,156,0.148,0.057,1.24,1.16,1.76,1.18,18.2,18.2,14.5,24.2,18.2,29.6,0.93,161,42,8,8,0,1,1,0,33,2,1150,0.35,9.30,2750,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-14=,Marapi,Sumatra,Complex volcano,,NO,Large but open crater,No,-0.381,100.474,955,2880,153,14.0,11.9,15.1,9.19,3.42,1.75,1.93,72,98,0.126,0.245,1.22,1.20,1.46,1.33,16.3,16.2,10.1,20.8,18.1,30.2,0.75,72,45,8,2,6,2,2,0,25,6,1350,0.21,10.8,2550,0.83, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-15=,Tandikat [Singgalang],Sumatra,[Stratovolcano],"Only Singgalang, north edifice of twin complex, is considered",NO,,No,-0.391,100.331,927,2847,70.6,9.48,7.87,10.7,1.64,1.45,1.39,1.92,24.7,53.1,0.147,0.153,1.36,1.20,1.69,1.18,18.9,18.9,17.4,27.6,18.2,29.7,0.82,147,28,1,0,1,0,0,0,12,2,2150,0.64,3.92,2700,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-15=,Tandikat,Sumatra,[Stratovolcano],"Only Tandikat, south edifice of twin complex, is considered",NO,Small crater,No,-0.434,100.320,356,2410,85.2,10.4,7.40,13.5,0.88,1.06,0.98,2.05,19.2,63.5,0.094,0.101,1.71,1.22,1.52,1.21,16.6,16.6,16.3,25.3,15.4,27.7,0.92,108,94,4,3,1,0,0,0,5,2,2100,0.85,2.09,2300,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-15=,Tandikat [Tandikat-Singgalang],Sumatra,Stratovolcanoes,Twin volcanoes considered together; summit region includes both peaks,NO,,No,-0.391,100.331,350,2847,160,14.3,9.93,17.3,19.5,4.98,1.78,2.50,75,162,0.125,0.349,1.54,1.26,1.96,1.35,17.6,16.5,13.9,20.4,25.5,25.6,0.66,19,29,6,2,4,0,0,0,15,15,1350,0.40,9.89,2050,0.68, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-16=,Talang,Sumatra,Stratovolcano,Summit region includes two peaks,NO,,No,-0.979,100.681,985,2578,67.3,9.26,7.83,11.3,3.00,1.96,1.16,1.59,21.6,47.1,0.125,0.211,1.65,1.31,2.02,1.25,16.5,16.2,15.0,19.1,21.6,23.2,0.73,122,95,5,3,2,0,0,0,11,5,1800,0.51,5.44,2300,0.83, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-17=,Kerinci,Sumatra,Stratovolcano,,NO,Small crater,No,-1.698,101.264,1433,3763,95.4,11.0,10.0,11.9,1.01,1.13,1.98,2.33,46.3,77.7,0.180,0.103,1.20,1.18,1.30,1.13,18.5,18.5,15.2,25.1,22.3,30.7,0.87,29,74,2,2,0,0,0,0,25,4,2350,0.39,6.45,3550,0.91, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-171,Kunyit,Sumatra,Stratovolcano,,NO,,No,-2.276,101.489,1021,2138,40.3,7.17,5.76,8.45,0.82,1.02,0.80,1.12,9.7,21.7,0.111,0.143,1.56,1.32,1.92,1.48,18.1,18.2,17.7,19.5,14.7,24.0,0.88,62,159,2,1,1,0,0,0,9,1,1650,0.56,4.14,2050,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-18=,Sumbing,Sumatra,Stratovolcano,,NO,,No,-2.415,101.729,1259,2479,28.0,5.97,4.98,7.02,1.02,1.14,0.89,1.22,6.2,15.2,0.150,0.191,1.52,1.23,1.53,1.21,18.6,18.6,15.6,22.9,18.3,30.6,0.89,3,80,2,2,0,0,0,0,12,2,1800,0.44,3.98,2350,0.89, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-21=,"Daun, Bukit",Sumatra,Stratovolcanoes,Summit region includes several peaks,NO,Small crater,No,-3.392,102.343,473,2484,139,13.3,10.4,15.5,24.3,5.56,1.45,2.01,54,132,0.109,0.418,1.39,1.31,1.40,1.33,16.8,16.2,15.2,18.9,19.5,21.3,0.73,87,85,14,3,11,0,0,0,9,10,1550,0.54,8.50,1950,0.73, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-22=,Kaba,Sumatra,Stratovolcano,,YES,Three craters in summit region; only the largest is considered,No,-3.523,102.615,744,1944,118,12.3,10.4,14.0,11.9,3.89,0.91,1.20,33,67,0.074,0.317,1.32,1.18,1.58,1.22,10.4,10.1,9.5,11.1,13.7,13.6,0.80,3,83,5,2,3,1,1,0,8,4,1350,0.51,8.07,1700,0.80,1721,0.81,0.67,0.92,1.10,145,0.09,0.17,0.04,0.09,1.42,1.06,0.10,0.08,0.10,0.001,13.9
0601-23=,Dempo,Sumatra,Stratovolcanoes,,YES,,No,-4.016,103.127,950,3140,162,14.3,12.7,16.1,3.41,2.08,1.94,2.19,80,120,0.135,0.145,1.30,1.17,1.74,1.31,15.9,15.8,11.3,21.0,23.1,27.8,0.80,115,113,3,3,0,0,0,0,25,1,1600,0.30,9.94,2800,0.84,2800,0.84,0.56,0.84,1.05,121,0.13,0.31,0.04,0.13,1.55,1.07,0.16,0.06,0.07,0.001,21.8
0601-251,Ranau [Semuning],Sumatra,[Stratovolcano],Edifice within caldera is considered,NO,Small crater,Partially,-4.911,103.963,543,1850,40.8,7.21,5.93,9.18,0.81,1.02,1.09,1.31,9.8,15.9,0.151,0.141,1.70,1.21,1.55,1.06,15.9,15.8,13.2,24.4,20.1,31.9,0.89,58,82,0,0,0,0,0,0,13,2,1100,0.43,3.65,1700,0.89, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0601-29=,Rajabasa,Sumatra,Stratovolcano,Summit region includes several peaks,NO,Small crater,Partially,-5.779,105.634,0,1257,104,11.5,9.37,13.9,5.56,2.66,1.11,1.26,31,42,0.096,0.231,1.45,1.16,1.87,1.39,13.5,13.2,10.2,18.1,18.5,21.5,0.64,130,114,5,0,5,1,0,1,13,5,400,0.32,7.47,1000,0.80, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-01=,Pulosari,Java,Stratovolcano,,NO,,No,-6.342,105.978,186,1321,39.5,7.09,5.66,8.82,0.21,0.52,0.96,1.14,9.0,14.8,0.136,0.073,1.55,1.27,1.39,1.10,14.5,14.4,11.1,19.4,18.1,24.0,0.81,92,158,4,4,0,0,0,0,15,1,550,0.32,4.58,1250,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-02=,Karang,Java,Stratovolcano,,NO,,No,-6.269,106.049,361,1762,67.4,9.26,8.03,10.6,2.68,1.85,1.25,1.40,21.3,30.1,0.135,0.199,1.33,1.18,1.61,1.14,15.0,14.8,9.3,17.6,19.6,24.9,0.67,94,86,3,3,0,0,0,0,19,5,600,0.17,7.70,1500,0.81, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-05=,Salak,Java,Stratovolcano,Summit region includes several peaks,NO,,No,-6.716,106.733,556,2179,66.5,9.20,7.37,11.0,2.76,1.88,1.23,1.62,23.1,45.8,0.133,0.204,1.46,1.23,1.86,1.65,19.5,19.2,16.8,25.4,26.8,28.6,0.77,57,53,6,2,4,0,0,0,11,5,1400,0.52,5.13,1900,0.83, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-06=,Gede,Java,Stratovolcano,Summit region includes two peaks,NO,,No,-6.771,106.964,580,2999,331,20.5,18.6,22.1,12.0,3.90,1.94,2.42,131,258,0.095,0.190,1.25,1.17,2.04,1.55,15.4,15.0,12.5,21.4,23.7,25.7,0.73,143,138,16,12,4,1,1,0,21,9,1500,0.38,11.4,2500,0.79, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-07=,Patuha,Java,Stratovolcano,Outline delineation problematic,NO,,No,-7.163,107.399,1356,2412,57.9,8.59,7.45,9.61,3.33,2.06,0.65,1.06,11.1,31.1,0.075,0.240,1.32,1.21,2.49,1.28,13.2,13.0,12.5,14.6,17.6,16.3,0.80,135,175,12,9,3,2,2,0,5,4,2000,0.61,4.24,2200,0.80, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-081,Malabar,Java,Stratovolcano,Outline delineation problematic,NO,,No,-7.152,107.625,809,2318,187,15.4,13.6,16.7,4.15,2.30,1.17,1.51,53,115,0.076,0.149,1.22,1.23,2.51,1.82,12.5,12.5,11.4,19.0,11.8,20.4,0.79,133,163,12,8,4,0,0,0,8,2,1850,0.69,6.26,2200,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-09=,Tangkubanparahu,Java,Stratovolcano,,YES,Crater considered as summit region,No,-6.754,107.605,1080,2075,43.5,7.44,5.75,8.83,1.46,1.36,0.62,1.00,7.9,22.9,0.084,0.183,1.50,1.23,1.26,1.12,11.4,11.4,10.7,13.6,ND,10.9,0.67,43,166,0,0,ND,0,0,ND,2,ND,1700,0.62,4.08,crater,ND,1728,0.65,1.46,1.36,1.62,124,0.19,0.35,0.11,0.31,1.42,1.09,0.14,0.18,0.30,0.01,21.5
0603-10=,Papandayan,Java,Stratovolcanoes,,NO,,No,-7.329,107.715,892,2650,103,11.5,9.54,13.7,2.30,1.71,1.12,1.76,27,91,0.098,0.149,1.46,1.26,2.65,1.52,14.1,14.1,12.8,21.5,16.3,26.8,0.89,57,54,7,5,2,0,0,0,8,2,2150,0.72,4.63,2500,0.91, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-11=,Kendang,Java,Stratovolcano,Outline delineation problematic,NO,,No,-7.245,107.708,1154,2601,80.4,10.1,6.93,12.4,0.25,0.57,0.82,1.45,14.9,57.8,0.081,0.056,1.58,1.27,3.21,1.38,14.4,14.4,13.7,18.6,13.2,23.1,0.93,83,164,4,4,0,0,0,0,8,1,2200,0.72,3.71,2550,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-13=,Guntur,Java,Complex volcano,Outline delineation problematic; summit region includes several peaks,NO,,No,-7.143,107.840,768,2226,73.5,9.67,7.92,11.5,3.03,1.96,1.04,1.46,23.8,51.2,0.108,0.203,1.43,1.21,2.75,1.59,17.3,17.2,16.9,18.1,20.2,21.0,0.84,60,85,8,6,2,0,0,0,7,4,1700,0.64,5.24,2000,0.84, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-131,Tampomas,Java,Stratovolcano,,NO,,No,-6.765,107.960,333,1679,59.9,8.73,7.50,9.50,0.08,0.32,1.09,1.35,15.4,28.9,0.125,0.036,1.38,1.25,1.37,1.14,13.9,13.9,11.9,17.1,14.2,27.2,0.94,82,5,1,1,0,0,0,0,17,0,850,0.38,5.45,1650,0.98, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-14=,Galunggung,Java,Stratovolcano,Summit region includes several peaks,NO,,No,-7.235,108.069,578,2192,153,14.0,11.8,15.7,2.35,1.73,1.27,1.61,41,87,0.091,0.124,1.34,1.23,3.21,1.52,13.4,13.3,11.4,20.1,23.5,26.0,0.88,24,179,15,11,4,1,1,0,12,3,1450,0.54,6.66,2000,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-17=,Cereme,Java,Stratovolcano,,NO,Small crater,No,-6.894,108.406,440,3038,158,14.2,11.1,17.1,1.14,1.21,2.13,2.60,84,160,0.150,0.085,1.49,1.29,1.42,1.12,17.4,17.3,14.5,21.0,22.9,26.4,0.95,6,163,6,6,0,1,0,1,31,2,1400,0.37,9.48,2900,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-18=,Slamet,Java,Stratovolcano,,NO,Small crater,No,-7.239,109.220,611,3406,130,12.9,11.4,14.9,0.88,1.06,1.99,2.80,61,157,0.155,0.082,1.46,1.27,1.58,1.09,17.5,17.6,15.8,23.2,15.3,31.2,0.94,144,69,2,2,0,0,0,0,23,2,2200,0.57,6.37,3300,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-21=,Sundoro,Java,Stratovolcano,,NO,,No,-7.303,109.995,1359,3142,49.5,7.94,6.69,9.01,0.23,0.54,1.55,1.78,18.7,30.1,0.195,0.068,1.33,1.23,1.18,1.05,19.5,19.6,14.2,23.7,14.8,33.4,0.84,116,63,2,2,0,1,1,0,27,0,1800,0.25,6.07,3100,0.98, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-22=,Sumbing,Java,Stratovolcano,,NO,Small crater,No,-7.386,110.073,1095,3295,93.4,10.9,8.94,13.3,1.27,1.27,1.91,2.20,43.1,69.2,0.175,0.117,1.51,1.35,1.15,1.09,18.7,18.7,14.3,24.3,18.3,32.8,0.87,166,102,0,0,0,0,0,0,29,2,1750,0.30,7.37,3150,0.93, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-23=,Ungaran,Java,Stratovolcano,,NO,Small crater,No,-7.185,110.347,395,2007,85.6,10.4,8.86,11.9,0.89,1.06,1.26,1.61,28.0,55.2,0.121,0.102,1.33,1.25,1.70,1.28,16.0,16.0,13.8,19.0,17.5,28.7,0.87,88,45,8,7,1,1,1,0,18,2,1050,0.41,6.95,1900,0.93, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-231,Telomoyo,Java,Stratovolcano,,NO,,No,-7.362,110.400,466,1870,73.8,9.70,7.33,11.5,0.34,0.66,0.83,1.40,14.5,35.2,0.086,0.068,1.53,1.25,1.83,1.26,15.8,15.8,15.3,19.6,26.0,29.1,0.88,107,129,6,6,0,0,0,0,9,3,1300,0.59,2.99,1700,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
