NUMBER,NAME,LOCATION,TYPE,General Observations,SUMMIT CRATER,Crater Observations,Underwater Extent,Latitude,Longitude,Elevation Min (m),Elevation Max (m),Basal Area (km2),Basal Width (km),Minor Basal Axis (km),Major Basal Axis (km),Summit Area (km2),Summit Width (km),Height (km),Height Max (km),Volume (km3),Volume Max (km3),Height / Basal width,Summit width / Basal width,Ellipticity index [outline],Irregularity index [outline],Ellipticity index [avg. contours],Irregularity index [avg. contours],Mean Slope [total] (º),Mean Slope [flank] (º),Mean Slope [low flank] (º),Mean Slope [main flank] (º),Mean Slope [summit] (º),Max. Avg. Slope (º),Max. Avg. Slope Height Fraction,Azimuth Major Basal Axis (º),Avg. Azimuth Elevation contours (º),Sec. Peaks [total],Sec. Peaks [flank],Sec. Peaks [summit],Holes [total],Holes [flank],Holes [summit],Contours [flank],Contours [summit],Elevation Lowest Contour (m),Elevation Fraction Lowest Contour,Width Lowest Contour (m),Elevation Summit Region Contour (m),Elevation Fraction Summit Region Contour,Crater Elevation Min (m),Crater Elevation Min [fraction],Crater Area (km2),Crater Width (km),Major Crater Axis (km),Azimuth Major Crater Axis (º),Crater Depth (km),Crater Depth Max (km),Crater Volume (km3),Crater Volume Max (km3),Ellipticity index [crater outline],Irregularity index [crater outline],Crater Depth / Crater Width,Crater Width / Edifice Width,Crater Depth / Edifice Height,Crater Volume / Edifice Volume,Mean Crater Slope (º)
0204-002,San Carlos,Africa-W,Shield volcano,No closed elevation contours on flank,YES,Crater considered as summit region; it is open towards SW,Partially,3.361,8.539,0,2263,396,22.4,18.7,26.5,22.5,5.35,1.69,2.26,143,255,0.075,0.239,1.41,1.20,ND,ND,10.1,10.1,ND,ND,ND,ND,ND,161,ND,16,16,ND,1,1,ND,0,ND,ND,ND,ND,crater,ND,744,0.33,22.5,5.35,6.07,75,0.77,1.52,11.5,23.7,1.29,1.09,0.14,0.24,0.46,0.08,24.1
0204-003,San Joaquin,Africa-W,Shield volcano,,YES,,Partially,3.364,8.627,0,2008,305,19.7,17.5,23.5,7.22,3.03,1.09,2.01,100,230,0.056,0.154,1.46,1.27,1.44,1.18,11.5,11.5,11.3,12.8,11.7,13.9,0.75,4,93,12,12,0,3,3,0,8,1,1450,0.72,6.69,1800,0.90,1815,0.90,1.53,1.40,1.54,111,0.13,0.18,0.14,0.23,1.21,1.04,0.10,0.07,0.12,0.001,13.8
0204-004,Santa Isabel,Africa-W,Shield volcano,,NO,,Partially,3.588,8.761,0,2989,1030,36.2,30.0,42.7,38.6,7.01,2.88,2.99,590,700,0.080,0.193,1.39,1.13,2.13,1.27,8.6,8.3,6.2,13.5,15.1,17.3,0.64,41,50,39,32,7,7,6,1,27,17,800,0.27,20.7,2100,0.70, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0204-01=,Cameroon,Africa-W,Stratovolcano,Outline delineation problematic,NO,,No,4.218,9.172,0,4022,1050,36.5,30.4,42.5,63.8,9.01,3.59,4.02,920,1330,0.098,0.247,1.37,1.14,2.05,1.13,11.2,11.1,7.4,12.9,13.4,19.4,0.63,33,42,29,23,6,1,1,0,45,21,750,0.19,30.3,2950,0.73, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0204-02-,Manengouba,Africa-W,Stratovolcano,,YES,,No,5.022,9.842,1009,2373,236,17.3,15.1,18.5,39.7,7.11,1.14,1.36,76,128,0.066,0.411,1.17,1.17,1.51,1.50,10.3,9.8,7.8,12.3,13.7,15.4,0.62,158,100,28,21,7,0,0,0,10,6,1450,0.32,12.8,1900,0.65,1910,0.66,8.95,3.38,3.61,109,0.19,0.35,0.88,2.53,1.15,1.07,0.06,0.19,0.17,0.01,10.0
0205-01=,"Toussidé, Tarso",Africa-N,Stratovolcano,,NO,,No,21.040,16.473,2086,3297,50.7,8.03,6.99,8.91,0.11,0.37,1.02,1.21,14.3,24.1,0.126,0.046,1.25,1.18,1.40,1.04,13.5,13.5,10.1,15.4,17.8,21.6,0.96,53,114,2,2,0,0,0,0,18,0,2400,0.26,6.54,3250,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0205-02=,"Voon, Tarso",Africa-N,Stratovolcano,No closed elevation contours on flank,YES,Crater considered as summit region,No,20.919,17.185,1682,2837,690,29.7,25.2,32.7,209,16.3,0.68,1.16,81,377,0.023,0.550,1.26,1.21,ND,ND,7.1,7.1,ND,ND,ND,ND,ND,125,ND,58,58,ND,2,2,ND,0,ND,ND,ND,ND,crater,ND,1982,0.26,209,16.3,19.2,139,0.47,0.86,55.6,137,1.39,1.13,0.03,0.55,0.69,0.68,6.9
0205-021,"Koussi, Emi",Africa-N,Pyroclastic shield,No closed elevation contours on flank,YES,Crater considered as summit region,No,19.793,18.551,1157,3435,1650,45.9,38.7,52.7,116,12.2,1.97,2.28,950,1520,0.043,0.265,1.33,1.17,ND,ND,7.4,7.4,ND,ND,ND,ND,ND,101,ND,31,31,ND,3,3,ND,0,ND,ND,ND,ND,crater,ND,2625,0.64,116,12.2,13.8,152,0.57,0.81,24.3,48.4,1.30,1.10,0.05,0.26,0.29,0.03,8.4
0302-001,Sahand,Iran,Stratovolcano,Outline delineation problematic,NO,,No,37.729,46.499,1844,3681,1140,38.1,35.3,40.0,80.0,10.1,1.36,1.84,390,870,0.036,0.265,1.13,1.13,3.17,3.73,13.9,13.5,12.1,16.1,18.7,18.8,0.66,97,81,230,175,55,3,3,0,10,11,2650,0.44,23.6,3100,0.68, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0302-002,Sabalan,Iran,Stratovolcano,Summit region includes two main peaks,NO,,No,38.267,47.836,2685,4784,83.4,10.3,7.51,12.6,10.0,3.57,1.48,2.10,35.7,85.1,0.144,0.347,1.54,1.24,2.56,1.57,20.5,19.6,17.6,23.9,27.1,27.0,0.67,59,51,8,4,4,0,0,0,9,11,3800,0.53,6.50,4200,0.72, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0302-01-,Damavand,Iran,Stratovolcano,Artificial 'sink' in SRTM DEM was corrected,NO,,No,35.954,52.109,2142,5586,92.5,10.9,8.89,12.5,0.17,0.47,2.32,3.44,56.0,148.7,0.214,0.043,1.49,1.26,1.35,1.09,25.1,25.1,23.6,28.1,22.9,33.3,0.80,95,88,0,0,0,0,0,0,32,1,3950,0.52,6.38,5500,0.98, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0302-03-,Bazman,Iran,Stratovolcano,,NO,,No,28.075,60.011,1780,3459,98.2,11.2,8.77,13.3,0.44,0.75,1.46,1.68,34.4,56.0,0.131,0.067,1.44,1.41,1.67,1.40,18.0,18.0,15.5,19.7,18.2,29.1,0.88,164,172,9,9,0,0,0,0,24,2,2200,0.25,8.73,3350,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0302-05-,Taftan,Iran,Stratovolcano,,NO,,No,28.600,61.132,2380,3914,74.3,9.73,7.83,11.3,1.52,1.39,1.24,1.53,24.4,45.9,0.128,0.143,1.38,1.38,1.77,1.47,20.8,20.8,20.5,21.0,22.9,31.2,0.83,40,148,13,12,1,0,0,0,18,3,2900,0.34,7.43,3750,0.89, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0303-001,"Grille, La",Indian O.-W,Shield volcano,,NO,,Partially,-11.464,43.340,0,1065,329,20.5,14.2,24.8,12.3,3.96,1.02,1.07,102,126,0.050,0.194,1.49,1.15,2.71,1.29,7.4,7.3,6.8,8.6,8.6,9.5,0.66,27,173,37,28,9,3,3,0,8,3,550,0.52,11.0,900,0.85, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0303-01=,Karthala,Indian O.-W,Shield volcano,,YES,,Partially,-11.759,43.367,0,2351,605,27.7,21.1,40.2,11.6,3.84,2.29,2.35,420,467,0.083,0.138,2.29,1.27,1.74,1.05,11.0,11.1,9.6,12.6,7.3,15.0,0.91,144,158,12,12,0,0,0,0,34,0,600,0.26,19.9,2250,0.96,1964,0.84,5.89,2.74,3.49,168,0.35,0.39,0.34,0.62,1.63,1.19,0.13,0.10,0.15,0.001,10.2
0303-02=,"Fournaise, Piton de la",Indian O.-W,Shield volcano,SRTM DEM has errors; outline delineation problematic,NO,Large but open crater,Partially,-21.245,55.706,0,2611,796,31.8,26.8,39.4,42.7,7.38,2.21,2.61,508,838,0.069,0.232,1.53,1.19,2.26,1.87,13.2,13.3,13.1,14.5,11.1,17.5,0.77,53,136,39,29,10,14,14,0,11,8,1700,0.65,14.2,2200,0.84, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0304-001,Amsterdam Island,Indian O.-S,Stratovolcano,,NO,,Totally,-37.850,77.549,0,854,52.6,8.18,7.04,9.73,19.0,4.91,0.82,0.85,16.6,17.8,0.100,0.601,1.43,1.10,1.16,1.04,12.4,13.5,11.7,17.7,10.3,19.2,0.47,4,8,3,1,2,0,0,0,5,8,250,0.29,6.07,450,0.53, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0304-01=,Heard,Indian O.-S,Stratovolcano,,NO,,Totally,-53.104,73.517,0,2722,287,19.1,16.9,21.8,12.6,4.01,2.69,2.72,193,202,0.141,0.210,1.31,1.21,1.75,1.25,16.0,15.9,12.3,17.5,17.6,38.9,0.66,131,140,10,7,3,0,0,0,38,11,300,0.11,16.1,2150,0.79, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0304-03-,"Est, Ile de l'",Indian O.-S,Stratovolcano,Summit region very large,NO,,Totally,-46.418,52.247,0,1044,123,12.5,9.04,18.1,66.6,9.21,1.03,1.04,41,44,0.082,0.737,2.11,1.18,3.24,2.78,22.8,19.7,17.5,23.9,25.6,24.0,0.29,103,100,24,2,22,1,1,0,3,14,200,0.19,10.5,300,0.29, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0304-04-,"Possession, Ile de la",Indian O.-S,Stratovolcano,,NO,,Totally,-46.415,51.696,0,889,150,13.8,9.81,18.1,23.8,5.51,0.87,0.89,42,46,0.063,0.399,1.73,1.29,2.77,2.49,16.5,15.9,13.0,16.7,19.5,19.4,0.51,108,125,26,11,15,0,0,0,9,7,100,0.12,12.6,500,0.57, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0304-05-,"Cochons, Ile aux",Indian O.-S,Stratovolcano,,NO,,Totally,-46.098,50.210,0,839,66.3,9.19,7.47,10.4,2.38,1.74,0.83,0.84,17.7,18.5,0.090,0.189,1.33,1.16,1.73,1.15,11.6,11.5,8.8,12.6,12.1,14.8,0.66,113,117,7,7,0,0,0,0,13,2,100,0.12,7.95,700,0.83, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0304-06-,Prince Edward Island,Indian O.,Shield volcano,,NO,,Totally,-46.627,37.931,0,654,47.2,7.75,5.12,10.5,2.69,1.85,0.65,0.65,9.4,9.7,0.084,0.239,1.85,1.14,1.79,1.24,11.0,10.9,7.7,11.9,12.8,14.9,0.31,115,95,11,8,3,2,2,0,10,3,50,0.08,6.95,500,0.77, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
